member_id,first_name,last_name,email,phone_number,date_of_birth,join_date,emergency_contact_name,emergency_contact_phone
1,Alice,Smith,alice.smith@email.com,"07700 900001",1990-05-15,2023-01-10,"Bob Smith","07700 900002"
2,Bob,Jones,bob.jones@email.com,"07700 900003",1985-08-22,2023-02-15,"Carol Jones","07700 900004"
3,Charlie,Brown,charlie.brown@email.com,"07700 900005",1992-03-30,2023-03-20,"Dave Brown","07700 900006"
4,Diana,Prince,diana.prince@email.com,"07700 900007",1988-11-05,2023-04-25,"Steve Trevor","07700 900008"
5,Emily,Jones,emily.jones@email.com,"07700 900009",1995-07-12,2023-05-10,"Frank Jones","07700 900010"
6,Frank,Castle,frank.castle@email.com,"07700 900011",1980-02-18,2023-06-15,"Maria Castle","07700 900012"
7,Grace,Lee,grace.lee@email.com,"07700 900013",1998-09-25,2023-07-20,"Henry Lee","07700 900014"
8,Henry,Ford,henry.ford@email.com,"07700 900015",1975-12-30,2023-08-05,"Iris Ford","07700 900016"
9,Iris,West,iris.west@email.com,"07700 900017",1993-04-14,2023-09-10,"Barry Allen","07700 900018"
10,Jack,Ryan,jack.ryan@email.com,"07700 900019",1982-10-08,2023-10-15,"Cathy Ryan","07700 900020"
11,Kevin,Mitnick,kevin.mitnick@email.com,"07700 900021",1996-01-22,2023-11-20,Unknown,"07700 900022"
